osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
654696074,False,4,,primary,60,6.612,"LINESTRING (-4788740.886465472 -2610004.4622520166, -4788747.632426615 -2610001.998529668)",Rua Doutor Alfredo Backer,,,,,,,7.181776907580077,0.007181776907580077
203187225,False,,,residential,,90.357,"LINESTRING (-4788740.886465472 -2610004.4622520166, -4788785.347470095 -2610067.2631423613, -4788796.223384346 -2610085.451291155)",Rua Joaquim Lage,,,,,,,98.13814225668523,0.09813814225668523
654696074,False,4,,primary,60,64.063,"LINESTRING (-4788740.886465472 -2610004.4622520166, -4788718.600303415 -2610015.6335467068, -4788698.907885494 -2610026.2855342245, -4788680.529037565 -2610038.8457097756)",Rua Doutor Alfredo Backer,,,,,,,69.57879687032855,0.06957879687032854
252252910,False,4,,primary,60,27.232,"LINESTRING (-4788940.771743141 -2609977.965179062, -4788933.558240138 -2609983.061695704, -4788926.990390181 -2609986.4070404246, -4788919.765755228 -2609989.486690498, -4788914.42241967 -2609990.875552484)",Rua Doutor Alfredo Backer,,,,,,,29.577549300294645,0.029577549300294645
259324606,False,4,,primary,60,77.512,"LINESTRING (-4788940.771743141 -2609977.965179062, -4788947.30619725 -2609972.252734561, -4788953.462165091 -2609964.6804274665, -4788959.940959455 -2609954.704793777, -4788966.364094075 -2609940.308974712, -4788980.935815419 -2609905.1165640443)",Rua Doutor Nilo Peçanha,,,,,,,84.18677520478907,0.08418677520478907
654606837,False,2,,secondary,,28.558999999999997,"LINESTRING (-4788940.771743141 -2609977.965179062, -4788938.278186547 -2609989.1726869345, -4788936.085192578 -2609999.1362644625, -4788934.515587757 -2610008.338992341)",Avenida José Mendonça Campos,,,,,,,31.019239566524526,0.031019239566524526
203187161,False,,,residential,,13.346,"LINESTRING (-4788980.935815419 -2609905.1165640443, -4788995.429613121 -2609904.935409071)",Travessa Carlos Cruz,,,,,,,14.494929766804308,0.014494929766804308
259324606,False,4,,primary,60,35.959,"LINESTRING (-4788980.935815419 -2609905.1165640443, -4788993.8488763515 -2609868.2576065627)",Rua Doutor Nilo Peçanha,,,,,,,39.05547195045301,0.03905547195045301
259324606,False,4,,primary,60,77.512,"LINESTRING (-4788980.935815419 -2609905.1165640443, -4788966.364094075 -2609940.308974712, -4788959.940959455 -2609954.704793777, -4788953.462165091 -2609964.6804274665, -4788947.30619725 -2609972.252734561, -4788940.771743141 -2609977.965179062)",Rua Doutor Nilo Peçanha,,,,,,,84.18677520478907,0.08418677520478907
203187178,False,,,residential,,95.368,"LINESTRING (-4789283.435399701 -2609696.3911269773, -4789270.544602667 -2609799.165399298)",Rua Sargento Barbosa,,,,,,,103.57955251514502,0.10357955251514503
970398708,False,4,,primary,60,108.42599999999999,"LINESTRING (-4789283.435399701 -2609696.3911269773, -4789351.752171201 -2609712.417108145, -4789398.083343269 -2609723.2862828565)",Rua Doutor Nilo Peçanha,,,,,,,117.76035145508258,0.11776035145508258
970398708,False,4,,primary,60,119.697,"LINESTRING (-4789283.435399701 -2609696.3911269773, -4789208.884736717 -2609678.52948287, -4789173.618722034 -2609671.4645377146, -4789156.37533291 -2609669.3390163477)",Rua Doutor Nilo Peçanha,,,,,,,130.0011698552116,0.1300011698552116
654698416,False,4,,primary,60,31.546,"LINESTRING (-4789493.740181707 -2609744.6140398867, -4789460.34433447 -2609736.957299471)",Rua Doutor Nilo Peçanha,,,,,,,34.26234502270814,0.03426234502270814
654698416,False,4,,primary,60,56.42700000000001,"LINESTRING (-4789493.740181707 -2609744.6140398867, -4789515.937288172 -2609751.6065551485, -4789534.438587542 -2609759.6859935825, -4789549.956524558 -2609768.4538191534)",Rua Doutor Nilo Peçanha,,,,,,,61.284555869329566,0.061284555869329564
"[654961616, 654961617, 654961615]",False,,,"['steps', 'footway', 'living_street']",,50.614000000000004,"LINESTRING (-4789493.740181707 -2609744.6140398867, -4789510.137542701 -2609713.9629458883, -4789517.384441552 -2609708.9389737537, -4789523.718520578 -2609699.47072275)",,,1,,,,,54.97114727633184,0.054971147276331844
264576678,False,4,,primary,60,22.052,"LINESTRING (-4790258.249048628 -2609965.694899028, -4790279.9229534855 -2609975.887926287)",Rua Doutor Nilo Peçanha,,,,,,,23.951115975584372,0.023951115975584372
203111744,True,,,residential,,116.45400000000001,"LINESTRING (-4790258.249048628 -2609965.694899028, -4790224.552638765 -2609968.0016143597, -4790189.197568489 -2609973.714057384, -4790134.806865288 -2609990.404547102)",Rua Doutor Toledo Piza,,,,,,,126.48280398755072,0.1264828039875507
